ticker,buffett_score,alpha_adj,conviction,verdict,material_killers
CHDN,5.1,0.0,LOW,Pass,2
NXST,5.1,0.0,LOW,Pass,2
MHK,5.1,0.0,LOW,Pass,0
BEPC,5.1,0.0,LOW,Pass,2
POST,5.1,0.0,LOW,Pass,1
TKO,5.1,0.0,LOW,Pass,0
ALAB,5.1,0.0,LOW,Pass,1
CNH,5.1,0.0,LOW,Pass,1
TTEK,5.1,0.0,LOW,Pass,1
BLSH,5.1,0.0,LOW,Pass,1
WEN,5.1,0.0,LOW,Pass,2
LCID,5.1,0.0,LOW,Pass,0
CERT,5.1,0.0,LOW,Pass,0
AIG,5.0,0.0,LOW,Pass,1
BIIB,5.0,0.0,LOW,Pass,1
XYZ,5.0,0.0,LOW,Pass,2
CDW,5.0,0.0,LOW,Pass,2
CTSH,5.0,0.0,LOW,Pass,2
CCI,5.0,0.0,LOW,Pass,2
FITB,5.0,0.0,LOW,Pass,1
HAL,5.0,0.0,LOW,Pass,1
JCI,5.0,0.0,LOW,Pass,1
LYB,5.0,0.0,LOW,Pass,1
MS,5.0,0.0,LOW,Pass,1
NSC,5.0,0.0,LOW,Pass,1
PANW,5.0,0.0,LOW,Pass,2
PSA,5.0,0.0,LOW,Pass,1
MDB,5.0,0.0,LOW,Pass,1
TLN,5.0,0.0,LOW,Pass,2
SCI,5.0,0.0,LOW,Pass,0
TFX,5.0,0.0,LOW,Pass,2
AUR,5.0,0.0,LOW,Pass,1
LYFT,5.0,0.0,LOW,Pass,1
VVV,5.0,0.0,LOW,Pass,2
S,5.0,0.0,LOW,Pass,1
AMTM,5.0,0.0,LOW,Pass,0
TRMB,5.0,0.0,LOW,Pass,2
TYL,5.0,0.0,LOW,Pass,2
UPS,5.0,0.0,LOW,Pass,1
WBD,5.0,0.0,LOW,Pass,1
OGE,5.0,0.0,LOW,Pass,2
IOT,5.0,0.0,LOW,Pass,1
REXR,5.0,0.0,LOW,Pass,2
AAL,5.0,0.0,LOW,Pass,1
AKAM,4.9,0.0,LOW,Pass,2
AMAT,4.9,0.0,LOW,Pass,2
CFG,4.9,0.0,LOW,Pass,1
CSGP,4.9,0.0,LOW,Pass,1
CSX,4.9,0.0,LOW,Pass,1
CMI,4.9,0.0,LOW,Pass,1
DAL,4.9,0.0,LOW,Pass,1
ETR,4.9,0.0,LOW,Pass,2
ESS,4.9,0.0,LOW,Pass,2
FDX,4.9,0.0,LOW,Pass,1
IFF,4.9,0.0,LOW,Pass,1
LH,4.9,0.0,LOW,Pass,1
POOL,4.9,0.0,LOW,Pass,1
PEG,4.9,0.0,LOW,Pass,2
DGX,4.9,0.0,LOW,Pass,1
FNF,4.9,0.0,LOW,Pass,1
CZR,4.9,0.0,LOW,Pass,1
PRMB,4.9,0.0,LOW,Pass,1
NVST,4.9,0.0,LOW,Pass,2
KRMN,4.9,0.0,LOW,Pass,2
LUV,4.9,0.0,LOW,Pass,0
TDY,4.9,0.0,LOW,Pass,2
TXT,4.9,0.0,LOW,Pass,1
UBER,4.9,0.0,LOW,Pass,2
UDR,4.9,0.0,LOW,Pass,2
OC,4.9,0.0,LOW,Pass,0
CASY,4.8,0.0,LOW,Pass,1
COIN,4.8,0.0,LOW,Pass,1
FISV,4.8,0.0,LOW,Pass,1
HPQ,4.8,0.0,LOW,Pass,2
JBL,4.8,0.0,LOW,Pass,1
LRCX,4.8,0.0,LOW,Pass,2
NKE,4.8,0.0,LOW,Pass,0
NCLH,4.8,0.0,LOW,Pass,2
RVTY,4.8,0.0,LOW,Pass,2
CRS,4.8,0.0,LOW,Pass,0
ILMN,4.8,0.0,LOW,Pass,1
RS,4.8,0.0,LOW,Pass,1
RRX,4.8,0.0,LOW,Pass,2
VIK,4.8,0.0,LOW,Pass,1
TOST,4.8,0.0,LOW,Pass,2
CCK,4.8,0.0,LOW,Pass,1
ROIV,4.8,0.0,LOW,Pass,1
GWRE,4.8,0.0,LOW,Pass,3
M,4.8,0.0,LOW,Pass,1
BFAM,4.8,0.0,LOW,Pass,1
KBR,4.8,0.0,LOW,Pass,1
SWK,4.8,0.0,LOW,Pass,1
TTWO,4.8,0.0,LOW,Pass,1
TGT,4.8,0.0,LOW,Pass,1
FERG,4.8,0.0,LOW,Pass,0
MP,4.8,0.0,LOW,Pass,0
SAIL,4.8,0.0,LOW,Pass,1
EW,4.7,0.0,LOW,Pass,1
EL,4.7,0.0,LOW,Pass,1
EXPD,4.7,0.0,LOW,Pass,1
ODFL,4.7,0.0,LOW,Pass,1
ASTS,4.7,0.0,LOW,Pass,2
RKT,4.7,0.0,LOW,Pass,1
UNM,4.7,0.0,LOW,Pass,1
PEN,4.7,0.0,LOW,Pass,0
HR,4.7,0.0,LOW,Pass,2
OWL,4.7,0.0,LOW,Pass,1
SPOT,4.7,0.0,LOW,Pass,0
EMN,4.7,0.0,LOW,Pass,1
FR,4.7,0.0,LOW,Pass,2
IDA,4.7,0.0,LOW,Pass,2
AMD,4.6,0.0,LOW,Pass,2
APTV,4.6,0.0,LOW,Pass,1
CI,4.6,0.0,LOW,Pass,0
DDOG,4.6,0.0,LOW,Pass,3
KR,4.6,0.0,LOW,Pass,1
LYV,4.6,0.0,LOW,Pass,1
TAP,4.6,0.0,LOW,Pass,1
PHM,4.6,0.0,LOW,Pass,1
EQH,4.6,0.0,LOW,Pass,1
SOLS,4.6,0.0,LOW,Pass,1
BWA,4.6,0.0,LOW,Pass,1
ELAN,4.6,0.0,LOW,Pass,1
ACI,4.6,0.0,LOW,Pass,1
TEL,4.6,0.0,LOW,Pass,2
DIS,4.6,0.0,LOW,Pass,1
ESI,4.6,0.0,LOW,Pass,1
PRGO,4.6,0.0,LOW,Pass,2
UA,4.6,0.0,LOW,Pass,2
BAX,4.5,0.0,LOW,Pass,2
DG,4.5,0.0,LOW,Pass,2
FIS,4.5,0.0,LOW,Pass,3
GNRC,4.5,0.0,LOW,Pass,0
IVZ,4.5,0.0,LOW,Pass,1
MPC,4.5,0.0,LOW,Pass,1
MSCI,4.5,0.0,LOW,Pass,0
NEE,4.5,0.0,LOW,Pass,2
OMC,4.5,0.0,LOW,Pass,2
PKG,4.5,0.0,LOW,Pass,0
PLD,4.5,0.0,LOW,Pass,2
SNDK,4.5,0.0,LOW,Pass,2
ATI,4.5,0.0,LOW,Pass,0
SARO,4.5,0.0,LOW,Pass,1
ENPH,4.5,0.0,LOW,Pass,2
SAIC,4.5,0.0,LOW,Pass,2
GLIBA,4.5,0.0,LOW,Pass,1
SWKS,4.5,0.0,LOW,Pass,2
TER,4.5,0.0,LOW,Pass,2
VLO,4.5,0.0,LOW,Pass,1
VTRS,4.5,0.0,LOW,Pass,1
ZBRA,4.5,0.0,LOW,Pass,2
DJT,4.5,0.0,LOW,Pass,0
HST,4.4,0.0,LOW,Pass,0
LW,4.4,0.0,LOW,Pass,0
RAL,4.4,0.0,LOW,Pass,2
AVTR,4.4,0.0,LOW,Pass,1
MOH,4.4,0.0,LOW,Pass,1
BKR,4.3,0.0,LOW,Pass,1
BXP,4.3,0.0,LOW,Pass,2
HII,4.3,0.0,LOW,Pass,1
MAA,4.3,0.0,LOW,Pass,2
NOC,4.3,0.0,LOW,Pass,1
SOFI,4.3,0.0,LOW,Pass,0
BWXT,4.3,0.0,LOW,Pass,2
ARMK,4.3,0.0,LOW,Pass,2
LLYVK,4.3,0.0,LOW,Pass,0
DAR,4.3,0.0,LOW,Pass,1
CPT,4.2,0.0,LOW,Pass,1
DLR,4.2,0.0,LOW,Pass,2
EPAM,4.2,0.0,LOW,Pass,1
GPC,4.2,0.0,LOW,Pass,1
KEYS,4.2,0.0,LOW,Pass,2
NRG,4.2,0.0,LOW,Pass,1
FWONK,4.2,0.0,LOW,Pass,1
AA,4.2,0.0,LOW,Pass,1
CLH,4.2,0.0,LOW,Pass,0
ST,4.2,0.0,LOW,Pass,1
AN,4.2,0.0,LOW,Pass,1
ALGM,4.2,0.0,LOW,Pass,2
THO,4.2,0.0,LOW,Pass,0
CAR,4.2,0.0,LOW,Pass,1
SMCI,4.2,0.0,LOW,Pass,3
TSN,4.2,0.0,LOW,Pass,0
WST,4.2,0.0,LOW,Pass,1
WDC,4.2,0.0,LOW,Pass,2
MASI,4.2,0.0,LOW,Pass,0
MAN,4.2,0.0,LOW,Pass,1
AMCR,4.1,0.0,LOW,Pass,2
TECH,4.1,0.0,LOW,Pass,2
CHRW,4.1,0.0,LOW,Pass,1
CARR,4.1,0.0,LOW,Pass,1
DE,4.1,0.0,LOW,Pass,2
IP,4.1,0.0,LOW,Pass,1
MDLZ,4.1,0.0,LOW,Pass,2
PSKY,4.1,0.0,LOW,Pass,1
PSX,4.1,0.0,LOW,Pass,1
RVMD,4.1,0.0,LOW,Pass,1
MKSI,4.1,0.0,LOW,Pass,3
WSO,4.1,0.0,LOW,Pass,1
LAD,4.1,0.0,LOW,Pass,1
RGEN,4.1,0.0,LOW,Pass,1
LPX,4.1,0.0,LOW,Pass,1
STLD,4.1,0.0,LOW,Pass,1
LKQ,4.1,0.0,LOW,Pass,1
AES,4.0,-0.2,AVOID,Avoid,2
BALL,4.0,-0.2,AVOID,Avoid,1
CAG,4.0,-0.2,AVOID,Avoid,2
DHI,4.0,-0.2,AVOID,Avoid,1
GM,4.0,-0.2,AVOID,Avoid,2
HPE,4.0,-0.2,AVOID,Avoid,3
RTX,4.0,-0.2,AVOID,Avoid,1
STX,4.0,-0.2,AVOID,Avoid,2
SUI,4.0,-0.2,AVOID,Avoid,1
SITE,4.0,-0.2,AVOID,Avoid,0
AVT,4.0,-0.2,AVOID,Avoid,2
SW,4.0,-0.2,AVOID,Avoid,1
VTR,4.0,-0.2,AVOID,Avoid,2
SNOW,4.0,-0.2,AVOID,Avoid,1
RBLX,4.0,-0.2,AVOID,Avoid,1
R,4.0,-0.2,AVOID,Avoid,0
SNDR,4.0,-0.2,AVOID,Avoid,0
UAA,4.0,-0.2,AVOID,Avoid,2
TFSL,4.0,-0.2,AVOID,Avoid,1
ADM,3.9,-0.21,AVOID,Avoid,1
CNC,3.9,-0.21,AVOID,Avoid,2
CRL,3.9,-0.21,AVOID,Avoid,1
CEG,3.9,-0.21,AVOID,Avoid,1
CVS,3.9,-0.21,AVOID,Avoid,2
ELV,3.9,-0.21,AVOID,Avoid,1
F,3.9,-0.21,AVOID,Avoid,2
HRL,3.9,-0.21,AVOID,Avoid,1
HUM,3.9,-0.21,AVOID,Avoid,1
JBHT,3.9,-0.21,AVOID,Avoid,0
LEN,3.9,-0.21,AVOID,Avoid,1
MOS,3.9,-0.21,AVOID,Avoid,1
PCAR,3.9,-0.21,AVOID,Avoid,1
MDLN,3.9,-0.21,AVOID,Avoid,2
IONS,3.9,-0.21,AVOID,Avoid,2
LBRDK,3.9,-0.21,AVOID,Avoid,2
FND,3.9,-0.21,AVOID,Avoid,0
ALK,3.9,-0.21,AVOID,Avoid,2
MDU,3.9,-0.21,AVOID,Avoid,2
TXN,3.9,-0.21,AVOID,Avoid,2
NET,3.9,-0.21,AVOID,Avoid,2
KNX,3.9,-0.21,AVOID,Avoid,0
LBRDA,3.9,-0.21,AVOID,Avoid,2
NIQ,3.9,-0.21,AVOID,Avoid,1
SATS,3.8,-0.22,AVOID,Avoid,2
HSIC,3.8,-0.22,AVOID,Avoid,1
DOC,3.8,-0.22,AVOID,Avoid,2
MRNA,3.8,-0.22,AVOID,Avoid,2
MPWR,3.8,-0.22,AVOID,Avoid,1
NUE,3.8,-0.22,AVOID,Avoid,0
PWR,3.8,-0.22,AVOID,Avoid,1
WCC,3.8,-0.22,AVOID,Avoid,1
ROKU,3.8,-0.22,AVOID,Avoid,1
GXO,3.8,-0.22,AVOID,Avoid,2
KMX,3.8,-0.22,AVOID,Avoid,2
VNO,3.8,-0.22,AVOID,Avoid,2
BC,3.8,-0.22,AVOID,Avoid,1
UNH,3.8,-0.22,AVOID,Avoid,1
ARW,3.8,-0.22,AVOID,Avoid,2
DINO,3.8,-0.22,AVOID,Avoid,1
CNXC,3.8,-0.22,AVOID,Avoid,3
INGM,3.8,-0.22,AVOID,Avoid,2
BG,3.7,-0.22,AVOID,Avoid,2
CVNA,3.7,-0.22,AVOID,Avoid,0
CRWD,3.7,-0.22,AVOID,Avoid,1
LSTR,3.7,-0.22,AVOID,Avoid,1
CBRE,3.6,-0.23,AVOID,Avoid,2
CIEN,3.6,-0.23,AVOID,Avoid,2
DOW,3.6,-0.23,AVOID,Avoid,2
Q,3.6,-0.23,AVOID,Avoid,2
GME,3.6,-0.23,AVOID,Avoid,2
IRM,3.5,-0.24,AVOID,Avoid,2
MTZ,3.5,-0.24,AVOID,Avoid,0
LSCC,3.5,-0.24,AVOID,Avoid,2
CRCL,3.5,-0.24,AVOID,Avoid,0
SBUX,3.5,-0.24,AVOID,Avoid,2
MRVL,3.5,-0.24,AVOID,Avoid,2
CGNX,3.5,-0.24,AVOID,Avoid,2
AMKR,3.5,-0.24,AVOID,Avoid,1
MCHP,3.4,-0.25,AVOID,Avoid,2
EQIX,3.3,-0.25,AVOID,Avoid,2
GEV,3.3,-0.25,AVOID,Avoid,1
QXO,3.3,-0.25,AVOID,Avoid,2
CUZ,3.3,-0.25,AVOID,Avoid,2
TSLA,3.3,-0.25,AVOID,Avoid,0
GLIBK,3.3,-0.25,AVOID,Avoid,1
INTC,3.2,-0.26,AVOID,Avoid,1
WELL,3.2,-0.26,AVOID,Avoid,2
FLEX,3.2,-0.26,AVOID,Avoid,2
INSM,3.2,-0.26,AVOID,Avoid,2
CPNG,3.2,-0.26,AVOID,Avoid,2
ALB,3.1,-0.27,AVOID,Avoid,2
ENTG,3.1,-0.27,AVOID,Avoid,3
ONTO,3.1,-0.27,AVOID,Avoid,2
RYN,3.1,-0.27,AVOID,Avoid,2
MSGS,3.1,-0.27,AVOID,Avoid,1
CLF,3.1,-0.27,AVOID,Avoid,2
LFUS,3.1,-0.27,AVOID,Avoid,1
ON,3.0,-0.28,AVOID,Avoid,2
SAIA,3.0,-0.28,AVOID,Avoid,1
RKLB,3.0,-0.28,AVOID,Avoid,1
XPO,2.8,-0.29,AVOID,Avoid,0
CAVA,2.8,-0.29,AVOID,Avoid,1
GLW,2.7,-0.3,AVOID,Avoid,2
BA,2.6,-0.3,AVOID,Avoid,1
MTSI,2.6,-0.3,AVOID,Avoid,2
WY,2.6,-0.3,AVOID,Avoid,2
GFS,2.6,-0.3,AVOID,Avoid,2
COHR,2.2,-0.33,AVOID,Avoid,2
LITE,2.1,-0.34,AVOID,Avoid,3
